Age,Annual Income (LPA),Borrowed Amount (LPA),Credit Score,Loan Tenure (months),Employment Status,Existing Loans,Marital Status,Education Level,Repayment Probability
41,7.92,7.14,643,91,Salaried,2,Married,Post-Graduate,0.095
55,12.64,9.88,589,234,Self-Employed,2,Single,Graduate,0.109
22,14.57,15.7,671,226,Salaried,1,Single,Graduate,0.118
47,4.1,2.68,718,105,Salaried,1,Married,Graduate,0.224
22,17.78,4.92,724,95,Salaried,0,Single,Post-Graduate,0.274
55,12.68,9.95,805,100,Salaried,1,Married,High School,0.322
38,1.0,1.0,830,238,Salaried,1,Married,Post-Graduate,0.122
34,4.57,1.75,733,208,Self-Employed,1,Married,Graduate,0.139
40,7.97,11.24,751,202,Unemployed,1,Married,Post-Graduate,0.072
38,11.42,4.78,709,122,Unemployed,0,Single,Post-Graduate,0.218
30,27.11,18.24,776,78,Self-Employed,1,Single,Graduate,0.227
45,13.91,4.41,748,186,Unemployed,1,Married,Graduate,0.164
22,5.27,4.48,694,173,Salaried,0,Married,Post-Graduate,0.175
45,13.77,7.31,900,23,Salaried,1,Married,High School,0.354
53,9.18,7.21,645,38,Salaried,0,Married,Graduate,0.079
56,14.6,6.05,845,208,Self-Employed,1,Married,Graduate,0.236
51,16.64,2.92,564,116,Salaried,0,Married,Graduate,0.158
34,21.67,25.81,781,97,Self-Employed,0,Married,Graduate,0.11
21,11.81,11.78,843,207,Self-Employed,2,Single,Graduate,0.14
36,25.11,14.49,509,128,Salaried,0,Single,Graduate,0.077
23,19.26,3.21,713,167,Salaried,2,Single,Graduate,0.213
55,6.34,8.32,771,210,Self-Employed,2,Married,Graduate,0.2
61,29.68,10.02,725,184,Self-Employed,1,Single,Graduate,0.233
26,14.62,20.51,737,237,Salaried,0,Married,High School,0.15
45,5.32,4.1,713,141,Self-Employed,0,Married,Graduate,0.224
33,25.22,14.54,590,148,Self-Employed,2,Single,High School,0.184
54,28.62,32.58,900,218,Unemployed,1,Married,Graduate,0.182
28,11.74,15.59,649,42,Salaried,2,Single,Graduate,0.015
41,7.97,4.93,743,175,Salaried,0,Married,Graduate,0.263
54,10.62,7.12,635,124,Salaried,2,Single,Graduate,0.23
24,17.72,12.52,472,116,Self-Employed,2,Single,Graduate,0.034
45,22.22,30.91,607,26,Self-Employed,0,Married,Graduate,0.163
35,16.56,17.71,555,108,Unemployed,2,Single,Graduate,0.085
24,12.81,5.72,809,201,Unemployed,0,Single,High School,0.259
65,23.98,8.61,639,42,Self-Employed,0,Married,Graduate,0.206
32,9.5,4.01,648,166,Self-Employed,0,Married,Graduate,0.077
52,20.25,9.5,593,13,Salaried,1,Married,Graduate,0.161
52,9.7,4.1,709,212,Salaried,1,Single,Post-Graduate,0.245
48,15.45,15.79,628,54,Unemployed,2,Married,Post-Graduate,0.141
33,11.09,2.91,799,126,Self-Employed,1,Married,Post-Graduate,0.233
51,11.55,7.42,730,134,Salaried,2,Single,Graduate,0.092
34,8.98,8.76,642,12,Salaried,1,Married,Graduate,0.192
40,22.76,11.54,785,222,Salaried,1,Single,Graduate,0.208
38,6.14,1.18,700,20,Salaried,1,Single,High School,0.214
49,6.08,1.3,702,199,Self-Employed,0,Married,Graduate,0.157
26,28.97,8.01,553,141,Salaried,1,Single,Post-Graduate,0.18
52,19.82,25.17,692,112,Salaried,0,Married,Post-Graduate,0.167
49,1.0,1.02,732,197,Self-Employed,3,Married,Graduate,0.159
63,7.48,1.42,833,204,Salaried,1,Married,Graduate,0.304
22,1.0,1.0,624,121,Salaried,2,Single,Graduate,0.166
43,4.39,2.15,900,151,Salaried,1,Single,Graduate,0.281
39,1.0,1.0,755,194,Salaried,1,Married,Graduate,0.16
51,10.9,9.07,548,229,Salaried,0,Married,Graduate,0.048
25,2.86,2.21,615,149,Unemployed,0,Single,Graduate,0.033
39,12.48,6.74,842,122,Salaried,1,Married,Graduate,0.194
54,1.0,1.0,824,76,Self-Employed,0,Single,Graduate,0.238
30,12.66,14.42,701,76,Salaried,1,Single,Graduate,0.161
45,8.68,11.56,714,72,Self-Employed,3,Married,Graduate,0.137
22,24.02,34.15,583,106,Self-Employed,0,Single,Graduate,0.076
31,23.29,4.24,832,214,Salaried,4,Married,Graduate,0.252
51,18.28,20.76,601,208,Self-Employed,2,Single,Graduate,0.011
35,9.39,10.49,784,46,Salaried,1,Single,Graduate,0.167
29,27.88,39.76,835,150,Salaried,0,Single,Graduate,0.155
43,1.0,1.0,704,207,Self-Employed,0,Single,Graduate,0.102
39,1.0,1.14,796,49,Self-Employed,0,Married,High School,0.223
29,11.33,2.0,884,125,Unemployed,1,Single,Graduate,0.311
55,30.03,29.54,726,50,Unemployed,0,Single,Post-Graduate,0.108
41,10.38,6.14,682,160,Self-Employed,2,Married,Graduate,0.116
29,10.53,12.39,693,131,Self-Employed,0,Single,Graduate,0.142
48,1.0,1.31,625,175,Salaried,0,Single,Graduate,0.132
27,19.57,11.95,623,121,Salaried,1,Single,Graduate,0.153
36,19.63,16.41,744,231,Salaried,1,Married,Post-Graduate,0.15
36,18.31,4.84,683,211,Salaried,0,Married,Post-Graduate,0.179
53,6.97,4.77,732,31,Salaried,1,Single,Graduate,0.183
24,6.35,3.84,551,54,Self-Employed,1,Single,Post-Graduate,0.164
24,1.66,1.0,690,160,Salaried,0,Married,Post-Graduate,0.121
59,12.67,17.13,803,174,Self-Employed,1,Married,Post-Graduate,0.212
60,3.36,1.03,588,75,Salaried,1,Married,Graduate,0.125
37,2.58,2.55,701,118,Self-Employed,1,Single,Graduate,0.153
57,8.61,11.59,514,43,Self-Employed,2,Married,Graduate,0.059
59,8.09,11.14,569,47,Salaried,0,Married,Post-Graduate,0.054
49,7.7,9.32,780,116,Unemployed,3,Married,Post-Graduate,0.21
56,15.73,5.45,669,80,Salaried,1,Single,High School,0.213
58,12.63,15.72,882,120,Unemployed,0,Single,Post-Graduate,0.203
59,9.69,4.72,743,191,Salaried,1,Married,Post-Graduate,0.205
57,13.46,18.73,753,143,Salaried,1,Married,Graduate,0.11
55,4.07,4.45,592,18,Unemployed,1,Married,Graduate,0.075
27,12.84,15.4,661,237,Self-Employed,0,Single,Post-Graduate,0.111
47,13.2,2.89,626,95,Salaried,0,Married,Graduate,0.165
48,1.0,1.0,593,210,Self-Employed,1,Married,Graduate,0.085
42,19.97,24.95,766,163,Salaried,0,Married,Graduate,0.193
34,4.95,6.47,786,160,Salaried,0,Single,High School,0.227
27,12.72,1.78,739,196,Salaried,1,Single,Graduate,0.242
57,21.32,30.16,617,212,Salaried,0,Married,Post-Graduate,0.0
42,19.41,3.12,733,158,Unemployed,1,Single,High School,0.219
25,12.27,11.78,508,223,Self-Employed,1,Single,Graduate,0.065
22,9.1,9.74,832,167,Salaried,1,Single,Post-Graduate,0.258
47,19.58,4.9,570,171,Self-Employed,2,Married,Graduate,0.118
41,17.4,2.91,587,45,Salaried,0,Married,Post-Graduate,0.116
58,7.05,8.45,711,27,Salaried,1,Married,Graduate,0.203
35,5.64,3.6,720,49,Self-Employed,4,Married,Post-Graduate,0.196
41,1.0,1.0,692,126,Salaried,3,Married,Graduate,0.136
30,13.23,15.45,588,92,Salaried,2,Married,Graduate,0.095
43,11.34,14.62,813,214,Self-Employed,1,Single,Post-Graduate,0.099
59,21.09,19.45,531,130,Unemployed,2,Married,High School,0.085
25,14.87,4.84,551,143,Salaried,2,Married,High School,0.125
21,22.67,2.75,689,67,Salaried,1,Single,Graduate,0.198
33,6.42,6.94,573,179,Salaried,3,Single,Graduate,0.124
41,21.11,18.37,822,131,Self-Employed,2,Single,High School,0.115
46,7.77,7.86,582,61,Self-Employed,1,Married,Post-Graduate,0.112
65,18.22,22.56,855,120,Self-Employed,1,Married,Graduate,0.254
41,1.0,1.0,803,128,Unemployed,1,Married,Post-Graduate,0.316
38,13.88,3.81,823,179,Self-Employed,0,Single,Graduate,0.2
57,1.0,1.42,888,117,Self-Employed,0,Married,Post-Graduate,0.278
65,9.86,8.51,708,93,Salaried,1,Married,Graduate,0.159
52,15.52,14.92,598,125,Self-Employed,0,Married,Graduate,0.101
56,7.83,11.02,689,60,Self-Employed,0,Married,Graduate,0.159
37,3.6,5.06,643,59,Salaried,2,Married,Post-Graduate,0.148
55,18.77,16.91,629,145,Salaried,1,Single,Graduate,0.215
31,11.17,5.77,715,235,Salaried,2,Single,Post-Graduate,0.207
41,8.08,12.09,668,137,Self-Employed,2,Married,Post-Graduate,0.028
46,12.34,13.0,624,144,Salaried,1,Single,Graduate,0.06
24,33.09,22.23,675,90,Self-Employed,1,Single,Post-Graduate,0.196
54,21.23,18.76,754,184,Salaried,0,Married,Graduate,0.11
38,21.3,14.53,795,155,Self-Employed,1,Married,High School,0.149
60,15.48,20.8,539,123,Salaried,1,Married,Graduate,0.011
55,13.33,10.34,669,156,Self-Employed,1,Single,Post-Graduate,0.176
61,1.0,1.25,685,198,Salaried,3,Married,Graduate,0.166
49,6.57,8.38,581,131,Salaried,1,Married,High School,0.039
49,8.16,10.23,688,195,Salaried,1,Married,Graduate,0.027
58,1.0,1.11,714,112,Salaried,1,Married,Post-Graduate,0.223
62,2.74,3.55,751,118,Self-Employed,1,Single,Graduate,0.222
41,1.0,1.0,707,90,Self-Employed,1,Single,Graduate,0.18
62,11.69,3.05,611,174,Salaried,1,Single,Graduate,0.126
33,18.55,23.73,900,19,Salaried,0,Married,Graduate,0.239
61,20.85,16.63,782,110,Self-Employed,4,Married,Graduate,0.171
37,15.32,4.26,755,72,Self-Employed,1,Married,High School,0.205
29,4.29,1.12,800,111,Salaried,1,Single,Graduate,0.29
61,1.0,1.0,724,38,Salaried,2,Single,Graduate,0.082
21,1.0,1.15,828,217,Salaried,2,Married,Graduate,0.25
22,1.85,2.03,705,130,Salaried,0,Single,Post-Graduate,0.131
49,4.89,1.88,700,226,Self-Employed,1,Married,Graduate,0.052
53,10.72,13.78,763,31,Self-Employed,1,Single,Graduate,0.204
30,3.89,1.92,857,68,Salaried,0,Single,Graduate,0.297
60,14.71,17.8,851,209,Salaried,0,Married,Post-Graduate,0.18
41,10.14,7.95,759,227,Self-Employed,1,Married,Post-Graduate,0.194
48,12.08,13.58,751,34,Salaried,0,Single,Graduate,0.097
31,21.12,13.39,769,111,Salaried,0,Single,Graduate,0.278
54,2.56,1.5,798,215,Self-Employed,0,Married,Graduate,0.148
28,15.35,19.62,829,141,Salaried,1,Married,Post-Graduate,0.22
42,11.89,1.78,676,166,Self-Employed,1,Married,Graduate,0.177
28,9.33,13.67,831,171,Unemployed,1,Married,Graduate,0.187
35,19.08,19.22,734,232,Unemployed,3,Single,Graduate,0.023
37,19.03,13.43,765,189,Salaried,1,Single,Graduate,0.273
43,4.43,4.34,838,203,Self-Employed,0,Married,High School,0.279
44,10.54,2.87,774,51,Self-Employed,0,Married,Post-Graduate,0.209
65,14.25,11.68,791,115,Salaried,2,Single,High School,0.263
39,9.82,14.53,661,44,Salaried,1,Married,Post-Graduate,0.104
25,16.68,7.16,849,40,Salaried,0,Single,Graduate,0.267
52,14.25,15.83,769,44,Self-Employed,1,Married,Post-Graduate,0.12
64,26.66,18.9,712,111,Salaried,2,Married,Graduate,0.147
21,1.0,1.01,810,156,Salaried,0,Single,Graduate,0.219
43,11.02,4.26,900,85,Self-Employed,1,Married,Graduate,0.249
57,4.73,3.59,583,76,Salaried,1,Married,Graduate,0.15
28,16.83,24.78,619,133,Salaried,0,Single,Graduate,0.142
33,1.0,1.0,900,54,Salaried,1,Married,Post-Graduate,0.314
28,14.77,14.64,742,202,Self-Employed,3,Married,High School,0.044
43,6.96,6.3,719,128,Self-Employed,1,Married,Graduate,0.091
63,6.13,5.46,688,220,Self-Employed,0,Married,Post-Graduate,0.153
21,1.0,1.0,820,231,Salaried,1,Single,Post-Graduate,0.25
65,8.28,6.65,900,138,Unemployed,1,Married,Graduate,0.244
44,20.68,2.56,633,111,Salaried,2,Married,Post-Graduate,0.185
55,11.8,16.05,690,197,Salaried,2,Married,Graduate,0.096
44,17.02,21.41,664,102,Self-Employed,2,Single,Graduate,0.076
37,25.32,8.71,773,54,Self-Employed,1,Married,Graduate,0.278
25,14.11,9.57,822,176,Self-Employed,0,Married,Graduate,0.239
40,7.53,8.88,862,57,Salaried,0,Married,High School,0.3
41,15.74,23.17,776,36,Salaried,1,Single,Post-Graduate,0.104
60,7.65,10.95,900,109,Salaried,1,Married,High School,0.154
51,7.96,10.82,642,206,Salaried,0,Married,Graduate,0.1
56,1.0,1.0,616,104,Salaried,0,Single,Post-Graduate,0.113
31,19.41,26.79,846,110,Self-Employed,1,Married,Post-Graduate,0.139
35,8.91,11.85,712,116,Salaried,2,Married,Graduate,0.088
39,13.46,8.45,562,190,Salaried,1,Married,Post-Graduate,0.134
27,3.71,2.42,668,85,Salaried,1,Single,Post-Graduate,0.151
48,15.49,11.52,725,128,Salaried,1,Married,High School,0.287
63,5.9,6.01,635,49,Self-Employed,1,Single,High School,0.124
25,10.87,5.06,598,177,Self-Employed,2,Single,Graduate,0.07
25,19.02,2.51,679,12,Unemployed,1,Single,Graduate,0.275
50,18.33,5.46,593,65,Self-Employed,1,Married,Graduate,0.257
52,11.82,8.47,763,204,Salaried,2,Married,Post-Graduate,0.141
28,1.0,1.0,505,107,Self-Employed,0,Married,Graduate,0.122
30,35.94,40.0,709,33,Salaried,0,Single,High School,0.054
58,25.97,6.48,751,200,Salaried,1,Married,Graduate,0.215
52,17.78,24.62,690,197,Salaried,3,Married,Post-Graduate,0.005
48,5.97,8.08,809,193,Salaried,0,Married,Graduate,0.216
37,11.09,15.22,562,30,Salaried,0,Married,Graduate,0.075
51,7.65,8.69,629,238,Self-Employed,1,Single,Post-Graduate,0.054
28,22.11,5.52,666,209,Salaried,4,Single,Graduate,0.197
60,14.1,10.06,771,45,Self-Employed,1,Married,Graduate,0.153
45,5.73,1.63,721,218,Unemployed,0,Married,Graduate,0.28
29,8.23,12.2,900,55,Unemployed,1,Single,Graduate,0.275
22,20.97,11.87,619,128,Unemployed,1,Married,Post-Graduate,0.183
35,24.8,22.8,560,120,Self-Employed,0,Married,Graduate,0.138
23,24.23,28.86,878,78,Salaried,3,Married,Graduate,0.223
56,18.06,25.08,556,125,Salaried,2,Single,Graduate,0.0
24,9.98,11.55,768,191,Self-Employed,1,Single,Graduate,0.078
34,1.0,1.04,602,240,Self-Employed,3,Married,Post-Graduate,0.019
61,14.38,10.82,493,33,Unemployed,3,Married,Graduate,0.032
61,11.99,11.36,662,40,Self-Employed,1,Married,Post-Graduate,0.214
45,13.12,3.04,789,153,Salaried,0,Single,Graduate,0.17
30,12.43,16.63,577,233,Unemployed,0,Single,Graduate,0.0
41,1.39,1.2,757,73,Unemployed,1,Single,High School,0.172
56,16.46,2.57,776,26,Salaried,1,Single,Post-Graduate,0.269
32,17.06,23.68,572,232,Self-Employed,4,Single,Graduate,0.013
47,17.46,13.71,677,153,Self-Employed,0,Married,Graduate,0.096
60,19.57,25.75,857,126,Salaried,1,Single,High School,0.258
22,16.83,21.87,765,206,Self-Employed,1,Single,Graduate,0.153
33,8.72,10.83,673,161,Salaried,2,Single,Graduate,0.12
52,11.43,2.13,741,108,Salaried,2,Married,Graduate,0.213
51,12.73,5.68,631,98,Salaried,1,Single,Graduate,0.075
36,12.86,17.05,811,136,Self-Employed,1,Married,Graduate,0.169
52,19.99,27.16,811,131,Salaried,0,Married,Post-Graduate,0.163
52,17.15,12.71,712,18,Salaried,4,Single,Graduate,0.197
54,28.62,20.49,723,95,Unemployed,1,Married,Graduate,0.213
31,29.65,10.24,600,18,Salaried,2,Married,High School,0.247
30,12.64,18.4,564,28,Salaried,1,Single,Graduate,0.08
35,1.0,1.0,662,43,Self-Employed,1,Married,Graduate,0.1
37,21.89,8.04,691,136,Salaried,1,Married,Post-Graduate,0.249
60,7.68,7.87,806,90,Self-Employed,0,Single,Graduate,0.305
38,5.59,2.46,792,216,Salaried,0,Married,Graduate,0.237
29,8.81,12.46,718,195,Self-Employed,0,Single,Post-Graduate,0.218
45,8.43,1.0,819,73,Salaried,1,Married,Graduate,0.271
60,16.9,1.83,605,69,Unemployed,1,Married,High School,0.154
34,1.0,1.0,807,122,Salaried,2,Single,Graduate,0.18
45,3.38,2.65,620,197,Salaried,0,Married,Post-Graduate,0.049
42,14.75,4.85,823,142,Unemployed,0,Married,Graduate,0.247
50,16.98,13.45,698,100,Self-Employed,1,Married,Graduate,0.097
40,17.13,11.59,500,235,Self-Employed,1,Single,Graduate,0.163
41,5.7,7.67,773,91,Salaried,0,Married,Post-Graduate,0.154
64,4.17,1.0,780,129,Salaried,1,Single,High School,0.267
52,7.95,11.66,654,12,Salaried,2,Single,Graduate,0.049
41,13.92,13.56,662,121,Salaried,1,Single,Graduate,0.103
55,23.88,7.46,684,78,Salaried,0,Single,Graduate,0.207
52,1.0,1.0,507,159,Unemployed,0,Married,Graduate,0.053
50,10.23,8.73,463,231,Salaried,0,Married,Graduate,0.022
59,1.34,1.0,830,225,Salaried,1,Married,Post-Graduate,0.255
32,1.0,1.0,617,239,Salaried,1,Married,Graduate,0.181
61,19.74,8.75,885,73,Self-Employed,0,Married,Post-Graduate,0.312
38,16.36,16.53,837,67,Salaried,2,Married,Graduate,0.197
41,15.6,13.65,856,192,Salaried,1,Married,High School,0.161
33,19.37,4.05,634,204,Self-Employed,1,Married,Graduate,0.153
41,8.16,6.83,539,67,Salaried,2,Single,High School,0.008
28,8.54,10.31,591,89,Salaried,0,Single,Post-Graduate,0.094
60,29.49,6.3,655,184,Salaried,2,Married,Graduate,0.307
27,10.03,13.5,462,90,Salaried,1,Single,Post-Graduate,0.106
43,17.88,16.26,652,107,Salaried,1,Single,Graduate,0.139
64,12.05,17.24,679,157,Salaried,1,Married,Graduate,0.152
52,1.0,1.0,570,59,Salaried,0,Married,Graduate,0.092
31,1.0,1.49,595,49,Salaried,0,Married,High School,0.091
42,7.37,7.38,677,33,Salaried,2,Married,Graduate,0.108
42,20.45,18.29,735,219,Salaried,1,Married,Post-Graduate,0.129
63,18.31,15.04,610,214,Salaried,2,Single,Post-Graduate,0.128
45,19.31,2.57,729,210,Salaried,1,Married,Post-Graduate,0.156
42,4.1,5.8,713,84,Salaried,0,Married,Graduate,0.204
48,24.93,24.97,704,140,Unemployed,0,Married,Graduate,0.175
49,4.28,1.0,634,181,Salaried,3,Married,Graduate,0.12
33,13.7,1.77,566,136,Self-Employed,1,Single,Post-Graduate,0.098
38,11.92,2.04,869,135,Self-Employed,1,Single,Post-Graduate,0.297
22,10.61,10.11,763,211,Self-Employed,2,Single,High School,0.162
49,22.71,21.79,800,86,Self-Employed,0,Married,Post-Graduate,0.235
41,6.36,5.09,691,208,Self-Employed,0,Married,Post-Graduate,0.208
35,1.2,1.0,683,168,Self-Employed,0,Single,Graduate,0.097
47,12.16,10.27,749,145,Unemployed,1,Married,Graduate,0.196
51,8.8,7.24,516,67,Salaried,0,Married,Graduate,0.118
35,39.02,4.96,588,131,Salaried,2,Married,Post-Graduate,0.226
43,17.41,8.63,620,23,Salaried,0,Married,Graduate,0.195
44,8.73,1.52,654,50,Self-Employed,1,Married,Graduate,0.161
64,3.55,4.83,612,210,Salaried,1,Single,Graduate,0.037
33,1.0,1.12,733,119,Unemployed,1,Married,Graduate,0.102
42,3.8,5.68,708,151,Salaried,1,Single,High School,0.199
63,12.92,6.76,839,44,Salaried,1,Single,Post-Graduate,0.261
57,23.42,31.15,900,131,Salaried,1,Married,Graduate,0.203
53,20.97,19.8,573,94,Self-Employed,1,Married,Post-Graduate,0.086
23,13.83,10.16,714,192,Self-Employed,1,Single,Graduate,0.144
39,9.41,3.87,714,239,Salaried,0,Married,Post-Graduate,0.223
43,14.15,16.04,698,30,Self-Employed,1,Married,Graduate,0.135
49,7.85,10.72,591,197,Salaried,0,Single,Post-Graduate,0.114
50,25.75,11.06,608,96,Salaried,3,Married,Graduate,0.13
59,10.49,3.62,724,222,Salaried,1,Married,Graduate,0.063
64,11.31,12.15,605,139,Self-Employed,1,Married,Post-Graduate,0.06
45,1.0,1.47,715,54,Self-Employed,2,Single,Graduate,0.228
57,10.44,12.01,675,84,Salaried,2,Married,Graduate,0.079
28,18.69,9.32,714,184,Salaried,0,Single,Graduate,0.218
62,3.46,2.38,604,97,Self-Employed,1,Married,Graduate,0.139
36,5.99,3.82,715,30,Salaried,0,Married,Post-Graduate,0.207
28,18.34,23.71,611,176,Salaried,2,Single,Graduate,0.051
21,1.0,1.18,716,22,Salaried,1,Single,Post-Graduate,0.222
64,20.46,18.92,833,195,Salaried,2,Married,Post-Graduate,0.195
25,7.74,3.75,726,139,Self-Employed,0,Married,Post-Graduate,0.14
23,8.89,12.56,732,164,Salaried,3,Married,Graduate,0.175
21,3.01,3.05,781,110,Unemployed,3,Married,Graduate,0.277
24,15.02,21.91,559,208,Self-Employed,0,Married,Graduate,0.0
60,31.68,28.9,871,56,Self-Employed,1,Single,Post-Graduate,0.201
55,18.25,22.81,594,73,Salaried,1,Single,Graduate,0.15
52,5.09,6.3,787,106,Salaried,2,Single,Graduate,0.159
62,21.08,12.06,774,153,Self-Employed,3,Married,Graduate,0.211
54,9.47,13.73,609,216,Self-Employed,1,Married,Post-Graduate,0.057
63,23.0,3.01,800,45,Salaried,0,Married,Graduate,0.371
45,18.45,21.7,749,109,Salaried,2,Single,Graduate,0.122
30,1.0,1.45,888,221,Salaried,3,Married,Graduate,0.13
41,3.97,2.28,719,71,Self-Employed,1,Married,Graduate,0.218
59,19.56,19.7,689,75,Self-Employed,0,Single,Graduate,0.202
47,13.21,11.72,648,209,Self-Employed,0,Married,Graduate,0.137
47,3.81,4.44,525,190,Unemployed,0,Married,Graduate,0.024
22,6.93,9.1,668,53,Self-Employed,2,Single,Post-Graduate,0.117
61,1.0,1.0,672,160,Salaried,0,Married,Graduate,0.164
33,11.29,14.03,726,115,Self-Employed,0,Single,Graduate,0.188
29,29.69,15.95,557,144,Self-Employed,1,Married,Post-Graduate,0.148
56,18.44,7.75,676,77,Salaried,0,Married,Graduate,0.186
42,29.52,20.75,757,209,Salaried,2,Married,Graduate,0.185
62,19.06,19.99,767,125,Self-Employed,0,Single,Graduate,0.136
46,20.22,7.32,514,200,Self-Employed,2,Single,Post-Graduate,0.158
32,27.79,29.25,770,147,Self-Employed,1,Married,Post-Graduate,0.046
37,15.02,9.79,675,77,Self-Employed,1,Single,Graduate,0.256
34,10.5,12.74,681,98,Salaried,1,Married,Graduate,0.057
34,20.26,3.07,463,73,Self-Employed,1,Married,Post-Graduate,0.084
54,23.63,24.46,849,159,Salaried,0,Married,Graduate,0.119
40,8.16,8.24,717,143,Salaried,6,Single,Post-Graduate,0.131
31,6.23,8.83,546,154,Salaried,0,Married,High School,0.088
36,13.11,14.4,737,233,Salaried,0,Single,Graduate,0.112
51,18.65,22.66,734,195,Salaried,2,Married,Post-Graduate,0.038
26,18.38,25.11,822,31,Self-Employed,3,Married,Graduate,0.208
39,1.0,1.05,669,35,Salaried,1,Married,Graduate,0.152
57,27.29,13.81,701,20,Salaried,1,Single,Graduate,0.212
24,6.87,9.05,635,127,Salaried,0,Single,Graduate,0.07
24,9.88,11.33,759,160,Self-Employed,0,Single,Post-Graduate,0.209
40,4.78,3.32,621,52,Salaried,2,Single,Graduate,0.114
30,33.59,36.77,610,24,Salaried,0,Married,Graduate,0.092
44,13.94,18.33,693,144,Salaried,2,Married,Graduate,0.066
55,5.19,7.61,577,203,Salaried,0,Married,Post-Graduate,0.098
46,18.91,27.1,860,57,Salaried,3,Single,Graduate,0.156
57,18.15,10.08,892,89,Self-Employed,3,Married,Graduate,0.17
58,10.5,7.25,654,82,Salaried,2,Married,Graduate,0.156
41,18.72,4.74,561,209,Salaried,0,Married,Graduate,0.157
60,5.4,2.41,733,70,Salaried,2,Married,High School,0.138
59,8.06,10.76,651,215,Self-Employed,1,Married,Post-Graduate,0.163
41,1.0,1.0,817,62,Salaried,2,Single,Graduate,0.172
30,1.41,1.37,621,27,Unemployed,0,Single,Graduate,0.177
58,26.46,27.32,754,62,Self-Employed,2,Married,Post-Graduate,0.231
24,25.13,30.02,711,235,Salaried,1,Married,Graduate,0.178
65,12.53,4.46,632,139,Self-Employed,1,Single,Graduate,0.092
40,25.3,13.33,724,181,Salaried,0,Married,Post-Graduate,0.232
37,10.72,7.8,787,22,Salaried,0,Single,Graduate,0.214
27,10.05,6.14,708,79,Salaried,1,Single,Post-Graduate,0.134
24,12.45,18.38,709,132,Self-Employed,0,Single,Graduate,0.139
49,11.0,13.96,612,232,Salaried,0,Single,High School,0.125
34,10.28,7.93,814,191,Self-Employed,3,Married,Graduate,0.177
23,21.15,28.15,804,237,Self-Employed,2,Married,Post-Graduate,0.038
44,13.2,7.74,658,212,Salaried,2,Single,Post-Graduate,0.055
57,17.7,21.24,687,149,Unemployed,0,Married,High School,0.153
36,20.25,8.37,841,83,Salaried,0,Married,Post-Graduate,0.304
24,15.11,17.85,586,202,Unemployed,3,Single,Post-Graduate,0.058
44,4.24,3.13,760,175,Self-Employed,0,Married,Post-Graduate,0.128
54,1.18,1.0,644,235,Self-Employed,0,Married,Post-Graduate,0.09
50,13.19,6.37,877,56,Self-Employed,1,Single,High School,0.25
38,10.63,7.05,706,17,Self-Employed,1,Married,Graduate,0.128
39,12.7,14.59,826,17,Salaried,0,Single,Graduate,0.235
51,11.87,2.4,623,102,Self-Employed,0,Married,Graduate,0.131
39,32.67,33.43,575,205,Salaried,1,Single,Graduate,0.015
39,1.36,1.5,676,84,Salaried,0,Single,Post-Graduate,0.127
42,1.0,1.02,726,75,Unemployed,0,Married,Graduate,0.137
44,14.66,17.08,648,49,Salaried,0,Single,Graduate,0.066
65,8.99,3.14,775,208,Salaried,0,Married,High School,0.164
32,14.53,13.4,679,237,Salaried,1,Married,Post-Graduate,0.127
50,16.67,23.63,491,200,Salaried,0,Married,Post-Graduate,0.0
58,22.27,21.27,755,89,Salaried,1,Married,High School,0.174
51,1.0,1.0,611,213,Salaried,0,Single,Graduate,0.167
56,7.55,8.54,663,74,Self-Employed,1,Married,Graduate,0.141
39,15.43,8.74,855,122,Salaried,0,Married,Graduate,0.194
65,18.16,19.62,877,82,Salaried,0,Single,Graduate,0.207
56,29.55,40.0,642,31,Unemployed,0,Married,Graduate,0.118
50,19.65,2.26,757,214,Unemployed,1,Married,Graduate,0.228
53,11.55,15.22,644,88,Self-Employed,2,Married,Graduate,0.057
38,4.88,1.98,671,75,Salaried,1,Married,High School,0.139
48,7.49,5.53,639,220,Salaried,0,Married,Post-Graduate,0.191
31,7.26,9.39,527,48,Self-Employed,0,Single,Graduate,0.131
65,17.24,21.61,709,119,Salaried,1,Married,Post-Graduate,0.114
53,14.06,18.96,728,175,Unemployed,0,Married,Post-Graduate,0.12
37,1.41,2.0,632,236,Salaried,1,Married,High School,0.12
26,8.51,6.18,808,21,Self-Employed,0,Married,Graduate,0.214
24,19.02,19.38,656,173,Salaried,0,Single,Post-Graduate,0.157
40,14.81,9.58,636,56,Salaried,0,Single,Graduate,0.161
47,16.55,9.78,752,74,Self-Employed,0,Married,Graduate,0.158
35,15.06,10.61,545,24,Self-Employed,1,Single,Graduate,0.15
26,25.01,28.52,790,36,Self-Employed,0,Married,Graduate,0.133
34,13.89,11.14,659,138,Salaried,0,Married,Graduate,0.051
31,8.91,11.05,798,55,Self-Employed,1,Single,Post-Graduate,0.255
59,4.67,5.34,828,236,Salaried,0,Single,High School,0.251
29,14.0,1.8,764,85,Salaried,1,Married,Graduate,0.207
46,1.0,1.0,618,127,Salaried,2,Married,Graduate,0.209
36,10.53,7.49,574,163,Self-Employed,0,Married,Graduate,0.145
25,10.35,7.65,556,80,Salaried,0,Single,Post-Graduate,0.0
30,1.08,1.35,810,213,Self-Employed,0,Single,Graduate,0.168
